	sample_30099	sample_30104	sample_30227	sample_30238	sample_30254	sample_30267	sample_30284	sample_30298	sample_30309	sample_30327	sample_30367	sample_30369	sample_30371	sample_30373	sample_30374	sample_30380	sample_30399	sample_30446	sample_30453	sample_30458	sample_30483	sample_30496	sample_30497	sample_30498	sample_30523	sample_30525	sample_30526	sample_30533	sample_30535	sample_30537	sample_30540	sample_30566	sample_30577	sample_30603	sample_30617	sample_30622	sample_30626	sample_30627	sample_30632	sample_30640	sample_30655	sample_30658	sample_30667	sample_30677	sample_30679	sample_30680	sample_30681	sample_30683	sample_30686	sample_30687	sample_30690	sample_30692	sample_30693	sample_30694	sample_30695	sample_30698	sample_30700	sample_30704	sample_30706	sample_30710	sample_30713	sample_30718	sample_30722	sample_30724	sample_30727	sample_30735	sample_30736	sample_30737	sample_30740	sample_30751	sample_30752	sample_30757	sample_30764	sample_30766	sample_30767	sample_30769	sample_30770	sample_30772	sample_30773	sample_30776	sample_30778	sample_30779	sample_30780	sample_30781	sample_30783	sample_30785	sample_30792	sample_30793	sample_30818	sample_30819	sample_30823	sample_30828	sample_30836	sample_30837	sample_30844	sample_30845	sample_30851	sample_30852	sample_30858	sample_30859	sample_30874	sample_30878	sample_30881	sample_30883	sample_30884	sample_30885	sample_30886	sample_30890	sample_30892	sample_30896	sample_30897	sample_30899	sample_30903	sample_30907	sample_30910	sample_30912	sample_30913	sample_30916	sample_30918	sample_30920	sample_30931	sample_30942	sample_30944	sample_30949	sample_30965	sample_30977	sample_30982	sample_30993	sample_30997	sample_30998	sample_31001	sample_31009	sample_31026	sample_31040	sample_31062	sample_31065	sample_31069	sample_31071	sample_31072	sample_31081	sample_31095	sample_31097	sample_31101	sample_31114	sample_31118	sample_31120	sample_31121	sample_31136	sample_31142	sample_31143	sample_31150	sample_31156	sample_31176	sample_31177	sample_31184	sample_31194	sample_31201	sample_31204	sample_31211	sample_31229	sample_31232	sample_31240	sample_31242	sample_31243	sample_31252	sample_31256	sample_31264	sample_31269	sample_31271	sample_31272	sample_31273	sample_31274	sample_31278	sample_31279	sample_31280	sample_31281	sample_31282	sample_31284	sample_31288	sample_31291	sample_31295	sample_31298	sample_31302	sample_31303	sample_31306	sample_31307	sample_31310	sample_31315	sample_31335	sample_31379	sample_31383	sample_31386	sample_31404	sample_31407	sample_31422	sample_31424	sample_31430	sample_31431	sample_31437	sample_31441	sample_31442	sample_31445	sample_31453	sample_31454	sample_31458	sample_31462	sample_31463	sample_31468	sample_31470	sample_31471	sample_31472	sample_75007	sample_75029	sample_75049
Sellimonas	90	22	0	0	0	0	0	0	0	0	0	0	0	15	27	0	0	13	0	21	0	25	0	27	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	20	9	0	108	0	0	0	0	0	10	25	73	0	0	0	0	0	6	0	0	0	0	0	0	0	22	7	0	0	0	0	0	8	110	0	0	0	0	0	0	34	0	0	21	0	35	0	0	9	77	9	0	0	16	29	0	15	9	0	0	0	0	11	0	0	0	412	0	8	9	0	0	0	0	5	11	0	13	0	0	97	74	0	0	0	0	0	10	0	0	14	0	0	0	0	0	38	28	9	0	0	0	0	0	11	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	26	0	0	1046	8	0	0	9	0	0	0	0	0	0	0	0	0	48	11	0	16	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
Shuttleworthia	0	0	0	0	0	22	0	0	0	0	45	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	72	47	0	0	0	0	13	40	0	0	0	21	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	36	0	0	0	0	0	104	0	0	0	0	0	0	123	0	0	0	17	0	0	0	0	0	0	0	0	0	36	0	19	0	0	78	0	0	80	17	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	64	62	0	0	0	0	18	0	0	44	0	167	0	0	115	0	0	0	0	0	0	8	0	10	81	34	36	185	57	0	16	0	0	52	133	0	68	114	0	10	0	0	0	0	0	0	0	0	0	0	0	52	0	0	24	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	146	17	0	0	0
Stomatobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Tyzzerella	15	0	0	0	0	0	0	0	0	0	0	43	0	0	0	19	0	0	0	0	0	0	0	0	0	6	87	169	0	34	0	0	353	148	0	0	0	0	0	0	0	71	15	0	50	7	0	0	0	291	181	56	168	42	0	0	210	28	34	0	0	0	29	0	0	0	0	0	65	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	18	0	0	80	0	293	0	0	0	0	7	0	37	65	0	0	21	0	0	0	0	0	0	0	0	0	0	0	480	31	0	0	0	0	0	0	0	27	0	62	121	0	0	31	67	0	16	0	0	0	176	0	324	0	0	0	0	0	0	15	10	0	23	0	0	0	0	0	0	0	0	0	0	0	19	0	126	6	28	54	0	682	0	21	0	6	0	0	0	38	36	0	0	0	0	0	0	422	55	0	0	9	0	0	0	0	0	60	10	0	0	0	14	0	44	433	10	511	201	235	0	2094	0	29	18	103	0	0	0	0
Tyzzerella_3	0	531	0	0	0	0	0	5	0	0	0	0	27	0	611	2226	0	0	0	210	0	0	17	0	0	0	0	0	83	0	0	10	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	9	0	0	0	222	0	0	22	31	0	0	0	0	0	0	1881	143	0	0	28	0	0	0	0	0	0	0	0	0	4	23	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	16	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	9	0	0	0	374	0	102	0	0	0	0	0	0	0	44	0	0	0	0	9	86	0	0	0	0	74	0	0	0	0	14	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	0	167	0	10	0	0	9	0	0	0	16	0	0	0	13	350	0	0	0
Tyzzerella_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	157	0	12	0	640	268	0	0	0	0	773	0	0	0	0	0	0	0	0	0	282	81	0	0	33	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	667	0	0	0	0	28	0	0	0	111	0	0	0	0	39	0	0	0	0	61	0	0	0	13	587	73	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	123	0	69	50	3459	0	0	0	0	0	0	0	25	0	0	0	89	0	0	0	0	0	0	0	0	0	300	202	0	0	0	59	0	0	0	0	0	0	391	0	0	262	486	0	0	0	0	0	0	57	0	0	0
Peptococcus	0	0	0	0	0	0	0	0	0	205	0	8	0	0	0	0	0	80	0	0	0	0	331	0	0	1016	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	46	604	0	0	0	12	0	0	54	4	1558	7	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	169	0	0	0	0	16	0	0	0	0	0	0	0	0	0	10	0	0	0	562	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Asaccharospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinibacter	143	100	28	0	30	321	4224	612	2209	295	0	619	372	114	489	4409	235	2669	250	82	710	22	17	43	0	1083	0	152	30	140	266	263	0	15	351	2523	597	56	140	54	12	437	23	1403	460	302	37	979	1219	245	6	700	130	147	174	16	16	16	120	113	22	282	2442	304	209	698	73	6477	63	56	70	30	1527	2961	21	11	0	264	3654	312	215	717	213	1405	431	182	2500	10	71	174	78	2373	990	100	478	0	9	1473	579	559	620	17	1736	1263	758	854	244	1497	104	181	592	2820	48	357	1057	144	2833	69	24	17	27	233	10	816	485	1055	534	0	56	54	2252	305	33	193	578	0	0	60	688	150	2076	6	0	76	13	316	77	797	9	0	0	4857	198	667	1273	0	0	347	341	208	77	85	1052	412	787	339	3995	41	46	20	9	453	417	0	29	16	0	273	51	20	827	0	382	1012	912	417	0	292	34	41	1841	31	77	401	991	8	39	197	177	26	0	200	0	44	0	8	49	301	16	0	111	43	540	69
Paeniclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	147	0	0	10	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	22	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcaceae_bacterium_oral_taxon_113_str._W5053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	7	0	0	0	0	56	0	0	0	0	4	0	18	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	19	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	12	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	40	0	0	26	0	0	0	0	0	0	0	22	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romboutsia	80	391	17	0	199	1132	6056	802	2115	4457	874	1891	2001	50	1289	687	846	1589	553	537	287	72	1476	2040	182	3576	14	741	0	193	11368	1205	12	1238	1053	996	1096	777	1434	18535	84	1707	37	6142	4063	1116	139	1247	7256	821	11	1499	70	872	1406	40	4243	83	224	1734	146	1159	1754	1552	311	683	1315	7736	326	955	148	621	5501	7322	53	128	0	1994	8979	5814	260	1915	1326	726	147	143	2212	1346	2278	0	2804	11807	2293	1118	1425	0	46	666	3846	1472	1588	66	1953	3127	1745	515	523	7558	540	3807	8363	7487	1347	36	592	374	3237	358	673	316	118	0	1052	912	567	3413	153	96	579	3467	4011	3435	190	346	97	0	210	2472	0	3357	3564	11	37	189	0	40	63	1689	118	912	225	5737	607	4406	990	337	547	1685	2886	414	0	638	722	1460	1415	111	1813	599	196	126	134	3854	26406	30	968	82	404	1138	1358	1264	2524	31	538	1099	2435	1422	2268	127	55	57	543	733	1198	1277	1501	121	32	1832	1199	36	30	60	82	128	61	25	462	189	42	25	653	338	8322	120
Sporacetigenium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terrisporobacter	91	9	0	0	0	21	3362	160	510	140	0	194	380	17	0	44	172	4547	27	14	263	0	0	0	0	117	16	18	0	42	148	147	0	92	35	1797	590	366	0	67	0	224	10	54	177	72	0	86	0	11	0	19	10	164	44	0	0	0	129	96	0	88	12	12	76	228	106	597	0	273	0	49	135	35	0	0	0	36	1410	450	492	392	203	581	109	39	1581	0	28	0	54	2616	59	39	75	0	0	183	157	348	0	0	1942	2232	1366	136	0	332	0	0	144	1246	0	136	118	13	360	0	0	0	19	77	0	40	64	50	75	0	11	122	1097	102	0	43	11	0	0	0	0	33	1761	0	0	15	0	0	26	299	0	0	0	2268	67	330	232	0	0	813	168	311	0	36	40	412	126	0	3154	100	51	0	13	55	417	0	94	0	14	29	0	11	593	0	54	0	122	122	0	252	35	7	921	60	0	74	478	0	37	134	0	0	0	86	0	0	0	0	0	93	9	0	44	0	261	0
Acetanaerobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	23	0	0	0	0	0	0
Anaerofilum	5	0	0	0	0	0	129	7	0	5	0	8	0	10	0	0	8	22	0	6	63	0	0	0	0	43	101	13	5	0	37	0	10	50	42	189	59	47	20	20	3	179	0	0	0	0	0	28	0	0	0	0	0	0	15	0	0	0	23	0	0	43	52	0	0	0	7	0	3	0	0	34	71	0	0	0	0	15	18	92	0	0	0	0	0	148	0	11	0	0	0	0	0	298	18	0	0	0	3	0	0	0	11	7	7	0	28	0	0	13	0	0	0	3	0	0	3	0	5	24	182	0	0	16	7	20	0	0	0	0	0	0	6	0	14	0	179	0	0	0	24	79	7	0	0	0	0	7	0	0	108	38	22	0	45	20	0	0	0	6	0	19	0	0	35	0	0	0	0	0	0	4	0	0	64	366	140	11	355	0	0	0	0	0	12	0	0	318	0	0	13	76	0	0	0	0	0	0	0	0	994	6	0	0	965	0	0	0	155	7	0	0	0	0
Anaerotruncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	34	12	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	5	0	0	0	0	0	0	14	0	0	72	0	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	55	0	0	6	0	0	6	0	0	2	29	21	0	0	0	0	0	0	0	0	0	59	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	3	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	38	3	3	0	65	14	13	0	24	0	6	0	0	45	0	0	0
Angelakisella	0	0	0	0	29	0	0	0	0	5	11	0	0	0	0	4	12	6	76	21	29	0	0	0	0	34	0	26	0	0	0	22	21	35	0	0	0	0	0	0	12	25	0	0	34	0	7	21	0	0	0	0	32	0	0	0	0	0	0	0	95	9	0	0	0	0	0	6	34	11	0	108	14	0	0	6	319	25	5	35	0	11	19	0	0	0	0	165	0	0	9	0	0	8	0	0	5	23	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	14	30	0	37	0	0	67	33	3	0	0	17	0	0	0	0	8	0	24	0	0	0	0	4	13	0	0	30	0	56	11	0	29	36	0	0	0	0	0	0	0	0	24	0	0	5	0	0	0	0	0	0	18	0	8	0	28	9	15	16	18	23	0	58	23	16	6	0	18	0	31	54	0	76	0	0	12	8	0	0	31	6	49	17	16	0	0	4	0	0	43	31	9	0	0	0	8
Butyricicoccus	59	76	71	0	127	20	0	156	0	21	0	7	295	0	150	595	0	162	150	573	111	0	101	144	0	67	224	193	44	0	148	0	340	68	282	570	329	80	0	30	51	0	710	243	0	1080	0	83	0	695	121	1107	200	109	0	0	1114	199	242	0	0	366	148	56	631	24	106	258	0	0	0	67	0	0	45	0	57	466	564	0	79	0	0	0	78	69	0	935	359	158	749	271	0	0	40	155	198	121	32	29	360	93	0	0	567	0	0	222	291	38	1889	0	73	30	84	591	0	19	808	0	87	448	928	119	296	238	0	43	275	220	217	0	67	213	320	18	0	890	27	805	101	0	0	14	0	269	171	190	0	167	32	0	44	0	220	513	141	0	0	0	9	148	0	0	355	0	0	0	0	1105	244	97	415	120	98	47	350	369	1318	2339	162	174	964	10	158	76	0	60	141	7	177	95	99	162	771	828	1919	58	78	219	0	136	1005	1962	84	251	258	123	1106	179	64	0	0	44
Candidatus_Soleaferrea	0	0	0	0	0	7	0	0	0	30	0	10	0	0	0	3	44	16	0	5	3	0	0	0	0	0	7	23	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	48	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	21	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	10	3	0	0	23	0	0	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	4	0	12	58	0	0	16	10	0	11	0	6	0	0	0	0	0	27	18	13	4	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	7	0	0	0	0
Caproiciproducens	0	0	9	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	12	0	0	0	0	0	0	8	3	37	0	0	0	0	0	4	0	0	0	0	0	0	0	17	0	6	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	66	0	9	0	0	0	0	0	31	0	0	9	0	0	0	191	0	0	19	0	0	5	0	0	13	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	30	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	26	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	27	0	0	0	0	0	0	0	0	0	22	3	25	282	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1386	11	0	0	10	34	13	0	11	0	0	0	0	0	0	0	0	13	0	0	0
Faecalibacterium	8136	1837	2286	45	23844	10391	21543	1648	2477	1223	7487	2413	1492	905	7018	2465	2410	31433	13888	23024	9148	4640	1464	8386	3242	2958	7633	10552	15045	4831	3910	2462	2635	32134	7793	10801	11530	2149	6015	4027	4124	34390	4006	24227	10248	5115	13144	9128	8879	9834	8836	1514	5318	5150	6233	6922	1848	2002	10277	2607	10741	3351	3928	1325	5766	2181	1122	2847	2872	6815	1000	3007	6006	1292	5407	3770	21753	24613	3587	6907	868	11818	20380	6325	6098	10152	14174	11351	13606	512	4304	11185	8139	12710	191	0	8249	5019	277	486	5307	400	5450	10835	8240	921	2376	10481	5490	1425	1811	24721	29086	4381	7626	19273	4396	0	3479	6495	7392	926	7770	7265	20775	11050	14266	1380	14127	7518	9520	8092	15313	17267	9212	9482	16840	6019	4198	3446	11909	10998	7734	1060	31152	2627	14143	8230	5049	3093	26540	5613	3761	10152	5574	6036	4369	6717	7804	7141	1179	5102	17042	16620	16680	3602	11880	8897	90	7305	8197	26271	3197	1831	11281	1903	7092	12582	9819	8524	2924	10079	9478	738	2700	10282	3025	4108	1482	24685	15140	8268	2430	6859	14354	6146	7238	1506	4665	3134	3434	2699	40	32373	3714	737	6148	594	3210	1340	3063	9087	1828	23161
Faecalibacterium_sp.UBA1819	139	6	64	0	10	56	19	14	116	20	99	2987	30	895	77	67	21	19	180	136	52	19	22	16	111	2217	201	197	0	0	0	109	46	0	59	6	15	200	170	16	283	47	846	26	304	0	25	274	794	69	371	51	1639	167	43	95	17	90	66	58	355	40	72	37	11	50	89	102	231	102	0	167	63	538	194	85	105	141	51	27	370	38	45	31	102	103	172	163	21	50	90	49	23	16	294	91	83	763	3734	8	0	70	242	313	125	437	102	298	28	117	86	54	37	247	0	58	265	1344	79	0	338	473	28	732	78	122	0	46	512	18	34	418	42	54	56	0	0	1555	54	79	45	0	27	46	74	252	47	49	106	209	8	19	104	29	0	292	0	40	52	35	3519	561	160	137	1187	136	46	20	0	45	19	99	18	121	15	0	15	60	15	32	72	76	161	97	83	34	105	72	145	71	207	12	881	0	103	0	100	467	118	1098	85	413	7877	308	45	5055	34	824	51	133	94	193	0	101
Fastidiosipila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	32	0
Flavonifractor	0	0	131	0	20	0	0	11	0	10	91	42	0	143	24	7	10	13	27	29	26	0	0	0	13	51	19	78	43	31	0	23	26	22	60	14	22	19	282	0	44	53	365	24	84	0	26	155	2240	26	18	58	469	36	0	63	131	16	86	128	264	18	46	0	0	107	0	26	0	0	0	30	30	77	73	0	161	0	0	333	17	29	25	0	40	52	43	80	0	135	8	0	0	14	0	1225	27	1105	106	0	19	0	10	104	51	0	0	0	0	5	53	46	47	819	0	29	6	160	81	21	19	972	22	234	88	0	109	0	104	0	18	0	31	368	272	51	0	535	584	31	0	0	19	0	74	8	36	19	198	207	0	0	23	11	0	60	0	0	0	48	1285	28	161	91	1761	1292	16	97	0	8	16	43	0	14	20	30	72	52	32	0	10	78	40	21	0	0	0	41	22	379	0	11	2206	88	15	139	1093	202	51	685	600	406	1933	2970	108	573	18	815	378	46	16	15	0	13
Fournierella	0	0	39	0	15	0	0	22	0	0	0	54	0	0	98	0	39	24	0	0	0	9	0	0	0	19	19	164	0	10	0	24	69	0	82	0	14	19	0	0	0	0	17	25	114	0	9	48	0	0	30	0	0	0	0	0	0	0	119	0	51	0	0	0	49	0	7	19	0	0	0	32	74	161	0	0	823	0	36	41	0	0	49	0	0	0	0	21	12	0	8	5	0	78	15	0	0	183	0	0	0	0	37	40	26	138	15	34	7	0	11	51	0	0	0	0	0	0	25	31	385	227	0	132	5	0	0	0	240	0	0	0	0	0	0	0	56	0	0	0	16	58	30	0	0	0	21	47	0	1502	25	0	0	15	13	0	0	0	0	12	0	15	4	16	7	0	0	0	0	0	0	46	0	0	0	257	208	0	49	0	7	0	0	0	13	8	0	429	0	0	13	84	0	31	21	0	0	17	0	0	20	681	0	0	0	0	0	0	569	39	0	0	0	0
